# Temperatura_=_21.67222222222222
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135574.8121218803
# Promedio de 36 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-1.084676e-08	-4.270773e-09	-5.700546e+01	-1.338367e+03
1.000000e-08	-1.084690e-08	-4.271522e-09	-5.700621e+01	-1.338551e+03
2.000000e-08	-1.084637e-08	-4.272379e-09	-5.700336e+01	-1.338795e+03
3.000000e-08	-1.084487e-08	-4.272984e-09	-5.699536e+01	-1.338982e+03
4.000000e-08	-1.084234e-08	-4.272492e-09	-5.698198e+01	-1.338868e+03
5.000000e-08	-1.083900e-08	-4.271795e-09	-5.696441e+01	-1.338681e+03
6.000000e-08	-1.083510e-08	-4.272076e-09	-5.694388e+01	-1.338729e+03
7.000000e-08	-1.083062e-08	-4.272025e-09	-5.692023e+01	-1.338704e+03
8.000000e-08	-1.082542e-08	-4.271676e-09	-5.689283e+01	-1.338604e+03
9.000000e-08	-1.081940e-08	-4.273341e-09	-5.686114e+01	-1.338891e+03
1.000000e-07	-1.081238e-08	-4.274449e-09	-5.682416e+01	-1.338851e+03
1.100000e-07	-1.080409e-08	-4.265140e-09	-5.678038e+01	-1.336437e+03
1.200000e-07	-1.079430e-08	-4.254177e-09	-5.672881e+01	-1.334100e+03
1.300000e-07	-1.078345e-08	-4.260824e-09	-5.667180e+01	-1.336172e+03
1.400000e-07	-1.077230e-08	-4.284608e-09	-5.661330e+01	-1.341735e+03
1.500000e-07	-1.076087e-08	-4.290577e-09	-5.655326e+01	-1.342377e+03
1.600000e-07	-1.074856e-08	-4.253001e-09	-5.648842e+01	-1.333159e+03
1.700000e-07	-1.073528e-08	-4.238597e-09	-5.641860e+01	-1.329994e+03
1.800000e-07	-1.072145e-08	-4.283242e-09	-5.634595e+01	-1.340179e+03
1.900000e-07	-1.070673e-08	-4.285662e-09	-5.626847e+01	-1.340221e+03
2.000000e-07	-1.069064e-08	-4.230063e-09	-5.618386e+01	-1.327371e+03
2.100000e-07	-1.067374e-08	-4.235370e-09	-5.609507e+01	-1.328724e+03
2.200000e-07	-1.065647e-08	-4.279506e-09	-5.600434e+01	-1.338682e+03
2.300000e-07	-1.063848e-08	-4.253641e-09	-5.590969e+01	-1.332774e+03
2.400000e-07	-1.061962e-08	-4.230952e-09	-5.581048e+01	-1.327975e+03
2.500000e-07	-1.060021e-08	-4.279372e-09	-5.570846e+01	-1.339118e+03
2.600000e-07	-1.058022e-08	-4.281816e-09	-5.560338e+01	-1.339320e+03
2.700000e-07	-1.055942e-08	-4.230989e-09	-5.549399e+01	-1.327605e+03
2.800000e-07	-1.053793e-08	-4.248480e-09	-5.538101e+01	-1.331526e+03
2.900000e-07	-1.051577e-08	-4.272648e-09	-5.526444e+01	-1.336640e+03
3.000000e-07	-1.049277e-08	-4.225202e-09	-5.514340e+01	-1.325718e+03
3.100000e-07	-1.046911e-08	-4.221866e-09	-5.501907e+01	-1.325228e+03
3.200000e-07	-1.044493e-08	-4.266062e-09	-5.489194e+01	-1.335283e+03
3.300000e-07	-1.041985e-08	-4.240875e-09	-5.476000e+01	-1.329431e+03
3.400000e-07	-1.039366e-08	-4.217584e-09	-5.462228e+01	-1.324364e+03
3.500000e-07	-1.036664e-08	-4.264448e-09	-5.448026e+01	-1.335058e+03
3.600000e-07	-1.033901e-08	-4.261719e-09	-5.433500e+01	-1.334053e+03
3.700000e-07	-1.031076e-08	-4.219768e-09	-5.418654e+01	-1.324452e+03
3.800000e-07	-1.028186e-08	-4.246615e-09	-5.403463e+01	-1.330488e+03
3.900000e-07	-1.025220e-08	-4.253785e-09	-5.387868e+01	-1.331579e+03
4.000000e-07	-1.022177e-08	-4.209193e-09	-5.371864e+01	-1.321156e+03
4.100000e-07	-1.019066e-08	-4.222409e-09	-5.355503e+01	-1.323948e+03
4.200000e-07	-1.015895e-08	-4.235634e-09	-5.338824e+01	-1.326379e+03
4.300000e-07	-1.012660e-08	-4.201457e-09	-5.321815e+01	-1.318376e+03
4.400000e-07	-1.009342e-08	-4.210167e-09	-5.304369e+01	-1.320279e+03
4.500000e-07	-1.005923e-08	-4.224771e-09	-5.286390e+01	-1.323099e+03
4.600000e-07	-1.002415e-08	-4.197772e-09	-5.267952e+01	-1.316643e+03
4.700000e-07	-9.988443e-09	-4.197205e-09	-5.249177e+01	-1.316301e+03
4.800000e-07	-9.952143e-09	-4.206448e-09	-5.230086e+01	-1.317825e+03
4.900000e-07	-9.915200e-09	-4.188629e-09	-5.210659e+01	-1.313497e+03
5.000000e-07	-9.877559e-09	-4.188742e-09	-5.190868e+01	-1.313370e+03
5.100000e-07	-9.839171e-09	-4.191890e-09	-5.170683e+01	-1.313386e+03
5.200000e-07	-9.800111e-09	-4.172527e-09	-5.150146e+01	-1.308480e+03
5.300000e-07	-9.760498e-09	-4.169927e-09	-5.129320e+01	-1.307786e+03
5.400000e-07	-9.720274e-09	-4.175142e-09	-5.108172e+01	-1.308435e+03
5.500000e-07	-9.679209e-09	-4.161427e-09	-5.086588e+01	-1.304718e+03
5.600000e-07	-9.637170e-09	-4.156893e-09	-5.064494e+01	-1.303495e+03
5.700000e-07	-9.594247e-09	-4.160983e-09	-5.041932e+01	-1.304014e+03
5.800000e-07	-9.550594e-09	-4.150928e-09	-5.018985e+01	-1.301112e+03
5.900000e-07	-9.506327e-09	-4.142028e-09	-4.995718e+01	-1.298725e+03
6.000000e-07	-9.461489e-09	-4.139531e-09	-4.972152e+01	-1.297725e+03
6.100000e-07	-9.416043e-09	-4.130747e-09	-4.948261e+01	-1.295064e+03
6.200000e-07	-9.369927e-09	-4.123260e-09	-4.924014e+01	-1.292800e+03
6.300000e-07	-9.323155e-09	-4.120409e-09	-4.899422e+01	-1.291711e+03
6.400000e-07	-9.275760e-09	-4.115680e-09	-4.874502e+01	-1.290195e+03
6.500000e-07	-9.227685e-09	-4.111437e-09	-4.849232e+01	-1.288778e+03
6.600000e-07	-9.178800e-09	-4.106129e-09	-4.823544e+01	-1.287055e+03
6.700000e-07	-9.129010e-09	-4.096935e-09	-4.797375e+01	-1.284401e+03
6.800000e-07	-9.078311e-09	-4.088744e-09	-4.770717e+01	-1.281942e+03
6.900000e-07	-9.026764e-09	-4.081527e-09	-4.743613e+01	-1.279648e+03
7.000000e-07	-8.974463e-09	-4.074074e-09	-4.716119e+01	-1.277359e+03
7.100000e-07	-8.921500e-09	-4.069637e-09	-4.688279e+01	-1.275804e+03
7.200000e-07	-8.867896e-09	-4.064170e-09	-4.660102e+01	-1.273943e+03
7.300000e-07	-8.813666e-09	-4.055197e-09	-4.631598e+01	-1.271317e+03
7.400000e-07	-8.758891e-09	-4.048351e-09	-4.602806e+01	-1.269246e+03
7.500000e-07	-8.703611e-09	-4.042256e-09	-4.573742e+01	-1.267219e+03
7.600000e-07	-8.647795e-09	-4.032506e-09	-4.544399e+01	-1.264259e+03
7.700000e-07	-8.591400e-09	-4.023412e-09	-4.514752e+01	-1.261509e+03
7.800000e-07	-8.534325e-09	-4.017176e-09	-4.484746e+01	-1.259436e+03
7.900000e-07	-8.476473e-09	-4.010223e-09	-4.454332e+01	-1.257186e+03
8.000000e-07	-8.417876e-09	-4.002450e-09	-4.423526e+01	-1.254788e+03
8.100000e-07	-8.358614e-09	-3.995105e-09	-4.392369e+01	-1.252462e+03
8.200000e-07	-8.298726e-09	-3.986499e-09	-4.360887e+01	-1.249773e+03
8.300000e-07	-8.238258e-09	-3.977052e-09	-4.329104e+01	-1.246893e+03
8.400000e-07	-8.177243e-09	-3.968631e-09	-4.297027e+01	-1.244244e+03
8.500000e-07	-8.115661e-09	-3.960684e-09	-4.264645e+01	-1.241674e+03
8.600000e-07	-8.053524e-09	-3.951705e-09	-4.231980e+01	-1.238863e+03
8.700000e-07	-7.990890e-09	-3.942422e-09	-4.199057e+01	-1.236001e+03
8.800000e-07	-7.927784e-09	-3.933565e-09	-4.165881e+01	-1.233252e+03
8.900000e-07	-7.864190e-09	-3.924376e-09	-4.132451e+01	-1.230417e+03
9.000000e-07	-7.800066e-09	-3.914675e-09	-4.098750e+01	-1.227424e+03
9.100000e-07	-7.735391e-09	-3.904962e-09	-4.064763e+01	-1.224362e+03
9.200000e-07	-7.670127e-09	-3.895100e-09	-4.030471e+01	-1.221238e+03
9.300000e-07	-7.604237e-09	-3.885050e-09	-3.995850e+01	-1.218096e+03
9.400000e-07	-7.537728e-09	-3.875195e-09	-3.960900e+01	-1.215015e+03
9.500000e-07	-7.470614e-09	-3.865028e-09	-3.925626e+01	-1.211848e+03
9.600000e-07	-7.402930e-09	-3.854214e-09	-3.890059e+01	-1.208521e+03
9.700000e-07	-7.334745e-09	-3.843448e-09	-3.854231e+01	-1.205205e+03
9.800000e-07	-7.266104e-09	-3.832879e-09	-3.818157e+01	-1.201904e+03
9.900000e-07	-7.196998e-09	-3.821986e-09	-3.781838e+01	-1.198477e+03
1.000000e-06	-7.127396e-09	-3.810903e-09	-3.745263e+01	-1.194981e+03
1.010000e-06	-7.057292e-09	-3.799854e-09	-3.708429e+01	-1.191490e+03
1.020000e-06	-6.986719e-09	-3.788768e-09	-3.671352e+01	-1.188006e+03
1.030000e-06	-6.915727e-09	-3.777430e-09	-3.634052e+01	-1.184484e+03
1.040000e-06	-6.844322e-09	-3.766000e-09	-3.596524e+01	-1.180942e+03
1.050000e-06	-6.772426e-09	-3.754312e-09	-3.558737e+01	-1.177320e+03
1.060000e-06	-6.699955e-09	-3.742185e-09	-3.520658e+01	-1.173539e+03
1.070000e-06	-6.626893e-09	-3.729950e-09	-3.482272e+01	-1.169691e+03
1.080000e-06	-6.553263e-09	-3.717737e-09	-3.443583e+01	-1.165840e+03
1.090000e-06	-6.479047e-09	-3.705574e-09	-3.404587e+01	-1.162010e+03
1.100000e-06	-6.404223e-09	-3.693410e-09	-3.365272e+01	-1.158185e+03
1.110000e-06	-6.328817e-09	-3.680786e-09	-3.325649e+01	-1.154244e+03
1.120000e-06	-6.252878e-09	-3.667485e-09	-3.285744e+01	-1.150122e+03
1.130000e-06	-6.176480e-09	-3.653944e-09	-3.245597e+01	-1.145909e+03
1.140000e-06	-6.099661e-09	-3.640580e-09	-3.205229e+01	-1.141726e+03
1.150000e-06	-6.022372e-09	-3.627292e-09	-3.164624e+01	-1.137551e+03
1.160000e-06	-5.944588e-09	-3.613774e-09	-3.123766e+01	-1.133289e+03
1.170000e-06	-5.866328e-09	-3.599708e-09	-3.082648e+01	-1.128870e+03
1.180000e-06	-5.787597e-09	-3.584992e-09	-3.041273e+01	-1.124271e+03
1.190000e-06	-5.708392e-09	-3.570187e-09	-2.999648e+01	-1.119641e+03
1.200000e-06	-5.628718e-09	-3.555899e-09	-2.957783e+01	-1.115157e+03
1.210000e-06	-5.548567e-09	-3.541616e-09	-2.915665e+01	-1.110674e+03
1.220000e-06	-5.467946e-09	-3.526699e-09	-2.873294e+01	-1.106000e+03
1.230000e-06	-5.386887e-09	-3.511052e-09	-2.830691e+01	-1.101106e+03
1.240000e-06	-5.305412e-09	-3.495131e-09	-2.787866e+01	-1.096111e+03
1.250000e-06	-5.223581e-09	-3.479242e-09	-2.744855e+01	-1.091106e+03
1.260000e-06	-5.141458e-09	-3.462943e-09	-2.701693e+01	-1.085999e+03
1.270000e-06	-5.059063e-09	-3.446366e-09	-2.658385e+01	-1.080792e+03
1.280000e-06	-4.976398e-09	-3.429755e-09	-2.614932e+01	-1.075566e+03
1.290000e-06	-4.893469e-09	-3.412939e-09	-2.571344e+01	-1.070330e+03
1.300000e-06	-4.810275e-09	-3.396241e-09	-2.527621e+01	-1.065137e+03
